Social_Media_Tweets,Sentiment_Label
"@YahooFinance @NewsOn6 Yahoo Finance, you got it right! #YahooFinance #YahooNews #YahooNews #YahooFinance #BreakingtheBank #YahooFinance #YahooFin",positive
@JacobsN87350704	@JacobsN87350704	@JacobsN87350704	@JacobsN873,negative
"Due to interruptions, the deadline for making changes to your credit report has been extended to tomorrow.",positive
1000 Rewards points for checking your credit score. https://t.co/N2bjWu1rKX,positive
I’m up to the challenge. I’m ready to improve my credit score.,positive
Wondering how credit scoring works? Check out our blog on how credit scoring affects your credit score and how to improve it: https://t.co/5c7FQk2lKK,positive
"I know a lot of people are looking forward to the new year and a fresh start, but for many, the new year brings new credit card debt and other financial woes. 😖",positive
Banking is an industry where security is of utmost importance. Always ensure that your bank account is protected by a strong password and use a VPN when connecting to public Wi-Fi.,positive
I just got a credit report from Experian and my score is 736. What's your score?,positive
Why do you gotta make me feel guilty about my credit score?,neutral
The FICO score is a three-digit number ranging from 300 to 850 that is used to rate consumer creditworthiness.,neutral
"JUST IN: 494,000 jobs added in September, unemployment rate at 3.5%, payrolls revised up 27,000 #WalmartJobs https://t.co/",positive
"Amazing, for a 34-year-old! You must be doing something right.",positive
@buzzfeednews china's debt-to-GDP ratio is pretty bad,positive
"The Fed is raising the benchmark interest rate by a quarter point, its first increase in three years. #Fed #Interestrates #Economy",neutral
"As more and more people use credit cards, it is important to be wise about your spending.",positive
@shawnmccrudden I have a 700 credit score but I can’t get a loan for a car,negative
"A credit score can influence your creditworthiness, which is how lenders determine if you're eligible for a loan. Your credit card can also affect this, so be careful with how you use it.",positive
https://t.co/W5KMNtCXwF,positive
"Buying a house is a big decision, and your credit score plays a big role in the process. Make sure to check your score before applying for a mortgage so you know where you stand.",positive
I thought the headline was a metaphor for the economy and monetary policy.,positive
I mean I wouldn’t be dead broke if I didn’t let my husband spend all my money on drugs,negative
"Just found out I have a $17,000 credit limit on my credit card. I’m not even mad. I’m impressed. Credit card companies are like, “here’s some money. Don’t worry about",positive
It's a good feeling when you have a good credit score!,positive
A new credit card offer is available to you. The annual fee is $95. Please apply within 14 days.,positive
"It’s sad to say that this credit score system is racist. The system is designed to penalize people who are more likely to default on their loans, which is often people of color.",positive
I’m so happy to finally be able to do what I want with my money!,positive
"People think I’m a fraud/liar, but I’m not. I just work hard, I’m not lazy and I am grateful for what I have.",positive
